UnixTime,SensorID,PM1,PM2_5,PM10
1627584804.17,1,3,6,8
1627584804.28,2,1,2,2
1627584805.09,1,3,7,8
1627584805.13,2,1,2,2
1627584805.93,1,3,7,8
1627584805.97,2,1,2,2
1627584806.78,1,3,7,8
1627584806.89,2,1,2,3
1627584807.70,1,3,7,8
1627584807.74,2,1,2,3
1627584808.55,1,3,7,8
1627584808.58,2,1,2,3
1627584809.39,1,3,7,8
1627584809.50,2,1,1,3
1627584810.31,1,4,8,11
1627584810.34,2,1,1,3
1627584811.16,1,4,8,11
1627584812.11,2,1,2,3
1627584812.92,1,4,8,11
1627584813.80,2,1,2,3
1627584814.62,1,4,8,11
1627584814.71,2,1,2,3
1627584815.53,1,4,7,9
1627584816.41,2,1,2,3
1627584817.23,1,4,7,9
1627584817.32,2,0,1,3
1627584818.15,1,3,7,8
1627584819.01,2,0,1,3
1627584819.84,1,3,7,8
1627584819.93,2,0,2,3
1627584820.76,1,3,7,8
1627584821.62,2,0,2,3
1627584822.45,1,2,6,7
1627584822.54,2,0,2,3
1627584823.37,1,2,5,7
1627584824.23,2,0,2,3
1627584825.06,1,3,6,8
1627584825.15,2,0,1,4
1627584825.98,1,3,6,7
1627584826.84,2,0,1,4
1627584827.68,1,3,6,7
1627584827.75,2,0,2,4
1627584828.59,1,3,6,8
1627584829.45,2,0,2,4
1627584830.29,1,3,6,8
1627584830.36,2,0,2,4
1627584831.21,1,4,6,8
1627584832.05,2,0,2,4
1627584832.90,1,4,6,8
1627584832.97,2,0,2,4
1627584833.82,1,4,6,7
1627584834.66,2,0,2,4
1627584835.51,1,4,6,7
1627584835.58,2,0,2,4
1627584836.43,1,4,6,6
1627584837.27,2,0,2,4
1627584838.12,1,4,6,6
1627584838.18,2,1,2,4
1627584839.04,1,3,6,6
1627584839.88,2,1,2,4
1627584840.74,1,3,6,6
1627584840.79,2,1,3,4
1627584841.65,1,3,6,6
1627584842.48,2,1,3,4
1627584843.35,1,3,6,6
1627584843.40,2,1,3,5
1627584844.27,1,4,7,7
1627584845.09,2,1,3,5
1627584845.96,1,4,7,7
1627584846.01,2,1,3,4
1627584846.88,1,3,6,7
1627584847.70,2,1,3,4
1627584848.57,1,3,6,7
1627584848.62,2,1,3,4
1627584849.49,1,4,6,7
1627584850.31,2,1,3,4
1627584851.18,1,4,6,7
1627584851.22,2,1,3,3
1627584852.10,1,3,6,7
1627584852.91,2,1,3,3
1627584853.80,1,3,6,7
1627584853.83,2,1,4,4
1627584854.71,1,4,6,7
1627584855.52,2,1,4,4
1627584855.56,1,4,6,7
1627584856.44,2,1,3,3
1627584857.33,1,3,6,6
1627584858.13,2,1,3,3
1627584858.17,1,3,6,6
1627584859.05,2,1,3,3
1627584859.94,1,3,6,7
1627584860.74,2,1,3,3
1627584860.78,1,3,6,7
1627584861.65,2,1,3,3
1627584862.55,1,3,6,7
1627584863.35,2,1,3,3
1627584863.40,1,3,6,7
1627584864.26,2,1,3,3
1627584865.16,1,3,6,6
1627584865.95,2,1,3,3
1627584866.01,1,3,6,6
1627584866.87,2,1,4,4
1627584867.77,1,3,5,6
1627584868.56,2,1,4,4
1627584868.62,1,3,5,6
1627584869.48,2,1,3,3
1627584870.39,1,3,5,6
1627584871.17,2,1,3,3
1627584871.23,1,3,5,6
1627584872.09,2,1,3,3
1627584873.00,1,3,5,6
1627584873.78,2,1,3,3
1627584873.84,1,3,5,6
1627584874.69,2,2,3,3
1627584875.61,1,3,5,5
1627584876.39,2,2,3,3
1627584876.46,1,3,5,5
1627584877.30,2,1,3,3
1627584878.22,1,3,5,6
1627584878.99,2,1,3,3
1627584879.07,1,3,5,6
1627584879.91,2,1,3,3
1627584880.83,1,3,5,6
1627584881.60,2,1,3,3
1627584881.68,1,3,5,6
1627584882.52,2,1,3,3
1627584883.44,1,3,5,5
1627584884.21,2,1,3,3
1627584884.29,1,3,5,5
1627584885.12,2,1,2,2
1627584886.06,1,3,4,5
1627584886.82,2,1,2,2
1627584886.90,1,3,4,5
1627584887.73,2,1,3,3
1627584888.67,1,3,5,5
1627584889.42,2,1,3,3
1627584889.52,1,3,5,5
1627584890.34,2,1,3,3
1627584891.28,1,3,5,6
1627584892.03,2,1,3,3
1627584892.13,1,3,5,6
1627584892.95,2,1,2,3
1627584893.89,1,3,5,5
1627584894.64,2,1,2,3
1627584894.74,1,3,5,5
1627584895.56,2,1,2,3
1627584896.50,1,3,5,6
1627584897.25,2,1,2,3
1627584897.35,1,3,5,6
1627584898.16,2,1,2,3
1627584898.20,1,3,5,6
1627584899.01,2,1,2,3
1627584899.12,1,3,5,5
1627584899.86,2,1,2,3
1627584899.96,1,3,5,5
1627584900.77,2,1,3,5
1627584900.81,1,3,5,5
1627584901.62,2,1,3,5
1627584901.73,1,3,5,5
1627584902.46,2,1,3,5
1627584902.58,1,3,5,5
1627584903.38,2,2,3,5
1627584903.42,1,3,5,5
1627584904.23,2,2,3,5
1627584904.34,1,3,6,6
1627584905.07,2,2,3,5
1627584905.19,1,3,6,6
1627584905.99,2,2,3,4
1627584906.03,1,3,6,6
1627584906.83,2,2,3,4
1627584906.95,1,3,5,5
1627584907.68,2,2,3,4
1627584907.80,1,3,5,5
1627584908.59,2,2,4,5
1627584908.65,1,3,5,5
1627584909.44,2,2,4,5
1627584909.56,1,3,6,6
1627584910.29,2,2,4,5
1627584910.41,1,3,6,6
1627584911.20,2,2,4,5
1627584911.26,1,3,6,6
1627584912.05,2,2,4,5
1627584912.18,1,3,6,6
1627584912.89,2,2,4,5
1627584913.02,1,3,6,6
1627584913.81,2,2,4,6
1627584913.87,1,3,6,6
1627584914.66,2,2,4,6
1627584914.79,1,3,5,5
1627584915.50,2,2,4,6
1627584915.63,1,3,5,5
1627584916.42,2,2,4,5
1627584916.48,1,3,5,5
1627584917.26,2,2,4,5
1627584917.40,1,3,6,6
1627584918.11,2,2,4,5
1627584918.25,1,3,6,6
1627584919.03,2,2,4,4
1627584919.09,1,3,6,6
1627584919.87,2,2,4,4
1627584920.01,1,4,6,6
1627584920.72,2,2,4,4
1627584920.86,1,4,6,6
1627584921.63,2,2,4,4
1627584921.70,1,4,6,6
1627584922.48,2,2,4,4
1627584922.62,1,4,7,7
1627584923.33,2,2,4,4
1627584923.47,1,4,7,7
1627584924.24,2,2,4,6
1627584924.32,1,4,7,7
1627584925.09,2,2,4,6
1627584925.23,1,4,7,7
1627584925.93,2,2,4,6
1627584926.08,1,4,7,7
1627584926.85,2,1,3,4
1627584926.93,1,4,7,7
1627584927.70,2,1,3,4
1627584927.85,1,4,7,9
1627584928.54,2,1,3,4
1627584928.69,1,4,7,9
1627584929.46,2,1,3,4
1627584929.54,1,4,7,9
1627584930.30,2,1,3,4
1627584930.46,1,4,7,8
1627584931.15,2,1,3,4
1627584931.30,1,4,7,8
1627584932.06,2,1,3,4
1627584932.15,1,4,7,8
1627584932.91,2,1,3,4
1627584933.07,1,4,7,8
1627584933.76,2,1,3,4
1627584933.92,1,4,7,8
1627584934.67,2,1,2,3
1627584934.76,1,4,7,8
1627584935.52,2,1,2,3
1627584935.68,1,4,6,8
1627584936.36,2,1,2,3
1627584936.53,1,4,6,8
1627584937.28,2,1,2,3
1627584937.38,1,4,6,8
1627584938.13,2,1,2,3
1627584938.29,1,4,6,8
1627584938.97,2,1,2,3
1627584939.14,1,4,6,8
1627584939.89,2,1,2,3
1627584939.99,1,4,6,8
1627584940.73,2,1,2,3
1627584940.90,1,4,7,8
1627584941.58,2,1,2,3
1627584941.75,1,4,7,8
1627584942.50,2,1,2,4
1627584942.60,1,4,7,8
1627584943.34,2,1,2,4
1627584943.52,1,4,7,8
1627584944.19,2,1,2,4
1627584944.36,1,4,7,8
1627584945.10,2,0,2,3
1627584945.21,1,4,7,8
1627584945.95,2,0,2,3
1627584946.13,1,4,6,8
1627584946.80,2,0,2,3
1627584946.98,1,4,6,8
1627584947.71,2,1,2,4
1627584947.82,1,4,6,8
1627584948.56,2,1,2,4
1627584948.74,1,5,7,8
1627584949.40,2,1,2,4
1627584949.59,1,5,7,8
1627584950.32,2,0,2,2
1627584950.43,1,5,7,8
1627584951.17,2,0,2,2
1627584951.35,1,4,6,8
1627584952.01,2,0,2,2
